heldout_lineage,scope,inner_fold,alpha,target_n,maximum_kkt,maximum_relative_bound,maximum_iterations,maximum_working_set_passes,maximum_active_feature_n
Ovary/Fallopian Tube,inner,4,0.2,1204,9.88681233465849e-07,1.3175778514688122e-10,575,4,195
Ovary/Fallopian Tube,inner,4,0.5,1204,7.669262555021206e-07,1.1528471522420145e-11,100,1,43
Ovary/Fallopian Tube,inner,4,1.0,1204,0.0,0.0,0,0,0
Ovary/Fallopian Tube,inner,5,0.1,1204,9.823574347936348e-07,6.783804156991265e-10,2250,6,539
Ovary/Fallopian Tube,inner,5,0.2,1204,9.11038727680058e-07,1.2265885131185302e-10,575,3,189
Ovary/Fallopian Tube,inner,5,0.5,1204,8.236166789132859e-07,2.6159203326790834e-11,75,1,38
Ovary/Fallopian Tube,inner,5,1.0,1204,0.0,0.0,0,0,0
Ovary/Fallopian Tube,outer,0,0.1,1204,9.771512226933177e-07,5.079202566880166e-10,1850,6,491
Pancreas,inner,1,0.1,1204,9.9284908348235e-07,7.701668280902923e-10,1750,6,532
Pancreas,inner,1,0.2,1204,9.9682426719927e-07,2.05204779160644e-10,600,5,200
Pancreas,inner,1,0.5,1204,5.817078891912075e-07,1.1077109622367772e-11,75,1,38
Pancreas,inner,1,1.0,1204,0.0,0.0,0,0,0
Pancreas,inner,2,0.1,1204,9.986121883784338e-07,5.872804437725277e-10,1650,6,485
Pancreas,inner,2,0.2,1204,9.087650938016667e-07,3.256558226031524e-10,475,3,158
Pancreas,inner,2,0.5,1204,8.253766663468554e-07,2.4361117707822336e-11,75,1,37
Pancreas,inner,2,1.0,1204,0.0,0.0,0,0,0
Pancreas,inner,3,0.1,1204,9.422813647824713e-07,8.310879541885191e-10,1500,5,487
Pancreas,inner,3,0.2,1204,8.581493132348017e-07,1.4793392637923977e-10,550,3,160
Pancreas,inner,3,0.5,1204,4.933144191754391e-07,2.7645959315083562e-12,75,1,34
Pancreas,inner,3,1.0,1204,0.0,0.0,0,0,0
Pancreas,inner,4,0.1,1204,7.956815087986624e-07,4.443708609703038e-10,2300,6,509
